철도운영기관명,선명,역명,지상지하구분,역층,상세위치,소화기종류,보유대수
대구교통공사,3호선,북구청,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,서문시장(동산병원),지상,3,달성공원역방향 승강장,분말소화기,4
대구교통공사,3호선,서문시장(동산병원),지상,3,청라언덕역방향 승강장,분말소화기,4
대구교통공사,3호선,서문시장(동산병원),지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,수성구민운동장,지상,3,수성시장역방향 승강장,분말소화기,4
대구교통공사,3호선,수성구민운동장,지상,3,어린이회관역방향 승강장,분말소화기,4
대구교통공사,3호선,수성구민운동장,지상,2,(F2) 대합실,분말소화기,8
대구교통공사,3호선,수성못(TBC),지상,2,(F2) 대합실,분말소화기,4
대구교통공사,3호선,용지,지상,2,(F2) 대합실,분말소화기,7
대구교통공사,3호선,용지,지상,3,범물역방향 승강장,분말소화기,3
대구교통공사,3호선,용지,지상,3,용지역방향 종점 승강장,분말소화기,4
대구교통공사,3호선,원대,지상,3,팔달시장역방향 승강장,분말소화기,2
대구교통공사,3호선,원대,지상,3,북구청역방향 승강장,분말소화기,2
대구교통공사,3호선,원대,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,지산,지상,2,(F2) 대합실,분말소화기,8
대구교통공사,3호선,지산,지상,3,수성못역방향 승강장,분말소화기,3
대구교통공사,3호선,지산,지상,3,범물역방향 승강장,분말소화기,3
대구교통공사,3호선,칠곡경대병원,지상,3,칠곡경대병원역방향 종점 승강장,분말소화기,3
대구교통공사,3호선,칠곡경대병원,지상,3,학정역방향 승강장,분말소화기,3
대구교통공사,3호선,칠곡경대병원,지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,칠곡운암,지상,3,동천역방향 승강장,분말소화기,3
대구교통공사,3호선,칠곡운암,지상,3,구암역방향 승강장,분말소화기,3
대구교통공사,3호선,칠곡운암,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,태전,지상,2,구암역방면 승강장,분말소화기,3
대구교통공사,3호선,태전,지상,2,매천역방면 승강장,분말소화기,3
대구교통공사,3호선,태전,지상,1,지상 1층,분말소화기,4
대구교통공사,3호선,팔거(국립농관원.통계청),지상,3,학정역방향 승강장,분말소화기,3
대구교통공사,3호선,팔거(국립농관원.통계청),지상,3,동천역방향 승강장,분말소화기,3
대구교통공사,3호선,팔거(국립농관원.통계청),지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,수성못(TBC),지상,3,황금역방향 승강장,분말소화기,4
대구교통공사,3호선,수성못(TBC),지상,3,지산역방향 승강장,분말소화기,4
대구교통공사,3호선,수성시장,지상,3,대봉교역방향 승강장,분말소화기,4
대구교통공사,3호선,수성시장,지상,3,수성구민운동장역방향 승강장,분말소화기,4
대구교통공사,3호선,수성시장,지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,청라언덕,지상,3,서문시장역방향 승강장,분말소화기,4
대구교통공사,3호선,청라언덕,지상,3,남산역방향 승강장,분말소화기,4
대구교통공사,3호선,청라언덕,지상,2,2호선 환승통로,분말소화기,1
대구교통공사,3호선,청라언덕,지상,2,(F2) 대합실,분말소화기,6
대구교통공사,3호선,어린이세상,지상,2,(F2) 대합실,분말소화기,4
대구교통공사,3호선,어린이세상,지상,3,수성구민운동장역방향 승강장,분말소화기,4
대구교통공사,3호선,어린이세상,지상,3,황금역방향 승강장,분말소화기,4
대구교통공사,3호선,팔달,지상,2,매천시장역방면 승강장,분말소화기,3
대구교통공사,3호선,팔달,지상,2,공단역방면 승강장,분말소화기,3
대구교통공사,3호선,팔달,지상,1,지상 1층,분말소화기,6
대구교통공사,3호선,팔달시장,지상,3,만평역방향 승강장,분말소화기,2
대구교통공사,3호선,팔달시장,지상,3,원대역방향 승강장,분말소화기,2
대구교통공사,3호선,팔달시장,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,학정,지상,3,칠곡경대병원역방향 승강장,분말소화기,3
대구교통공사,3호선,학정,지상,3,팔거역방향 승강장,분말소화기,3
대구교통공사,3호선,학정,지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,황금,지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,황금,지상,3,어린이회관역방향 승강장,분말소화기,4
대구교통공사,3호선,황금,지상,3,수성못역방향 승강장,분말소화기,4
대구교통공사,3호선,건들바위,지상,3,명덕역방향 승강장,분말소화기,4
대구교통공사,3호선,건들바위,지상,3,대봉교역방향 승강장,분말소화기,4
대구교통공사,3호선,건들바위,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,공단,지상,3,팔달역방면 승강장,분말소화기,2
대구교통공사,3호선,공단,지상,3,만평역방면 승강장,분말소화기,2
대구교통공사,3호선,공단,지상,2,(F2) 대합실,분말소화기,4
대구교통공사,3호선,구암,지상,3,칠곡운암역방향 승강장,분말소화기,3
대구교통공사,3호선,구암,지상,3,태전역방향 승강장,분말소화기,3
대구교통공사,3호선,구암,지상,2,(F2) 대합실,분말소화기,4
대구교통공사,3호선,남산,지상,3,청라언덕역방향 승강장,분말소화기,4
대구교통공사,3호선,남산,지상,3,명덕역방향 승강장,분말소화기,4
대구교통공사,3호선,남산,지상,2,(F2) 연결통로,분말소화기,3
대구교통공사,3호선,남산,지상,1,(F1) 대합실,분말소화기,9
대구교통공사,3호선,달성공원,지상,3,북구청역방향 승강장,분말소화기,4
대구교통공사,3호선,달성공원,지상,3,서문시장역방향 승강장,분말소화기,4
대구교통공사,3호선,달성공원,지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,대봉교,지상,3,건들바위역방향 승강장,분말소화기,4
대구교통공사,3호선,대봉교,지상,3,수성시장역방향 승강장,분말소화기,4
대구교통공사,3호선,대봉교,지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,동천,지상,3,팔거역방향 승강장,분말소화기,3
대구교통공사,3호선,동천,지상,3,칠곡운암역방향 승강장,분말소화기,3
대구교통공사,3호선,동천,지상,2,(F2) 대합실,분말소화기,4
대구교통공사,3호선,만평,지상,3,공단역방면 승강장,분말소화기,2
대구교통공사,3호선,만평,지상,3,팔달시장역방면 승강장,분말소화기,2
대구교통공사,3호선,만평,지상,2,(F2) 대합실,분말소화기,3
대구교통공사,3호선,매천,지상,2,태전역방면 승강장,분말소화기,4
대구교통공사,3호선,매천,지상,2,매천시장역방면 승강장,분말소화기,4
대구교통공사,3호선,매천,지상,1,지상 1층,분말소화기,5
대구교통공사,3호선,매천시장,지상,2,매천역방면 승강장,분말소화기,3
대구교통공사,3호선,매천시장,지상,2,팔달역방면 승강장,분말소화기,3
대구교통공사,3호선,매천시장,지상,1,지상 1층,분말소화기,4
대구교통공사,3호선,명덕(2.28민주운동기념회관),지상,3,남산역방향 승강장,분말소화기,4
대구교통공사,3호선,명덕(2.28민주운동기념회관),지상,3,건들바위역방향 승강장,분말소화기,4
대구교통공사,3호선,명덕(2.28민주운동기념회관),지상,2,(F2) 대합실,분말소화기,5
대구교통공사,3호선,명덕(2.28민주운동기념회관),지하,1,(F1) 연결통로,분말소화기,9
대구교통공사,3호선,범물,지상,2,(F2) 대합실,분말소화기,8
대구교통공사,3호선,범물,지상,3,지산역방향 승강장,분말소화기,3
대구교통공사,3호선,범물,지상,3,용지역방향 승강장,분말소화기,3
대구교통공사,3호선,북구청,지상,3,원대역방향 승강장 ,분말소화기,4
대구교통공사,3호선,북구청,지상,3,달성공원역방향 승강장 ,분말소화기,4
